city Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lng,Latitude,Date
Punta Arenas,50,87,20,8.05,-70.92,-53.15,3/4/2020
Busselton,88.79,10,59,9.08,115.33,-33.65,3/4/2020
Taoudenni,67.6,13,0,6.51,-3.98,22.68,3/4/2020
Roald,36.18,56,100,11.41,6.13,62.58,3/4/2020
Jaru,71.49,99,99,2.15,-62.47,-10.44,3/4/2020
Castro,51.57,98,22,2.17,-50.01,-24.79,3/4/2020
College,-11.36,75,1,2.17,-147.8,64.86,3/4/2020
Bambous Virieux,84.11,79,40,1.12,57.76,-20.34,3/4/2020
Vila Velha,78.8,94,75,6.93,-40.29,-20.33,3/4/2020
Hilo,69.64,83,90,5.82,-155.09,19.73,3/4/2020
Ryazanovskiy,36.23,95,97,1.23,39.43,55.55,3/4/2020
Meridian,41.5,63,1,5.82,-116.39,43.61,3/4/2020
Vestmannaeyjar,37.87,50,100,16.11,-20.27,63.44,3/4/2020
Huanren,25.9,78,90,13.02,125.37,41.26,3/4/2020
Mahon,51.8,66,20,18.34,4.27,39.89,3/4/2020
Atuona,81.52,76,4,12.15,-139.03,-9.8,3/4/2020
Chokurdakh,-0.72,79,0,8.25,147.92,70.63,3/4/2020
Ushuaia,53.6,58,40,25.28,-68.3,-54.8,3/4/2020
Mataura,57,50,1,10,168.86,-46.19,3/4/2020
Qaanaaq,-13.9,98,100,1.57,-69.36,77.48,3/4/2020
Airai,76.41,85,87,3.4,125.41,-8.93,3/4/2020
Mongo,76.91,20,18,3.69,18.69,12.18,3/4/2020
Touros,78.8,88,90,4.7,-35.46,-5.2,3/4/2020
Arraial do Cabo,74.97,87,70,8.63,-42.03,-22.97,3/4/2020
Saint Paul Harbor,14,72,90,16.11,-152.41,57.79,3/4/2020
Mahébourg,84.13,79,40,1.12,57.7,-20.41,3/4/2020
Rikitea,78.58,79,100,18.34,-134.97,-23.12,3/4/2020
Matagami,21.2,92,75,2.24,-77.63,49.75,3/4/2020
Kapaa,73.49,88,40,8.05,-159.32,22.08,3/4/2020
Butaritari,82.78,79,55,14.99,172.79,3.07,3/4/2020
Cape Town,64.17,88,20,13.87,18.42,-33.93,3/4/2020
Bluff,57,50,34,10,168.33,-46.6,3/4/2020
Dingle,85.26,58,62,12.95,122.67,11,3/4/2020
Puerto Ayora,78.01,100,82,1.01,-90.35,-0.74,3/4/2020
Sterling,49.41,66,90,18.34,-77.43,39.01,3/4/2020
Tasiilaq,30.2,63,100,3.36,-37.64,65.61,3/4/2020
Alugan,81.1,77,5,13.15,125.48,12.22,3/4/2020
Santa María del Oro,44.46,46,0,13.33,-105.37,25.93,3/4/2020
Hwange,67.55,73,81,8.63,26.5,-18.37,3/4/2020
Avarua,82.4,83,4,3.36,-159.78,-21.21,3/4/2020
Faanui,82.74,78,66,9.57,-151.75,-16.48,3/4/2020
Albany,41.47,75,90,12.75,-73.97,42.6,3/4/2020
Cidreira,72.54,74,90,8.5,-50.21,-30.18,3/4/2020
New Norfolk,69.01,49,40,13.87,147.06,-42.78,3/4/2020
Pacific Grove,52.43,71,1,5.66,-121.92,36.62,3/4/2020
Hermanus,64.81,90,7,1.01,19.23,-34.42,3/4/2020
Chui,65.93,92,0,6.13,-53.46,-33.7,3/4/2020
Provideniya,8.6,65,48,3.87,-173.3,64.38,3/4/2020
Vaini,84.2,70,40,8.05,-175.2,-21.2,3/4/2020
Flinders,71.74,94,75,11.41,150.86,-34.58,3/4/2020
São Filipe,72.21,72,1,16.87,-24.5,14.9,3/4/2020
Tiksi,4.24,79,100,31.27,128.87,71.69,3/4/2020
Barrow,-23.8,74,1,9.17,-156.79,71.29,3/4/2020
George Town,91.11,59,20,6.93,100.34,5.41,3/4/2020
Lingdong,22.78,88,100,7.16,131.15,46.57,3/4/2020
Gīdolē,78.67,46,91,5.12,37.37,5.65,3/4/2020
Saint George,45.66,40,1,1.23,-113.58,37.1,3/4/2020
Songjianghe,22.37,89,100,13.73,127.48,42.19,3/4/2020
Saskylakh,5.5,92,100,4.79,114.08,71.92,3/4/2020
Neuquén,84.2,32,0,8.43,-68.06,-38.95,3/4/2020
Seoul,39.56,48,75,6.93,126.98,37.57,3/4/2020
Aklavik,-34.6,73,40,2.24,-135.01,68.22,3/4/2020
Belaya Gora,2.14,75,0,4.79,146.42,68.53,3/4/2020
Palmas Bellas,78.04,78,65,8.05,-80.09,9.23,3/4/2020
Vestmanna,37.4,74,26,12.75,-7.17,62.16,3/4/2020
Ponta Delgada,64.4,93,75,19.46,-25.67,37.73,3/4/2020
Coyhaique,57.2,76,100,4.7,-72.07,-45.58,3/4/2020
Lagoa,60.35,70,98,30.38,-27.98,39.05,3/4/2020
Port Alfred,71.01,94,0,7.81,26.89,-33.59,3/4/2020
Marsh Harbour,73.26,86,88,13.35,-77.06,26.54,3/4/2020
Upernavik,-15.74,49,100,2.17,-56.15,72.79,3/4/2020
Khatanga,8.58,94,100,6.31,102.5,71.97,3/4/2020
Fortuna,47.97,87,90,4.12,-124.16,40.6,3/4/2020
Dzhebariki-Khaya,4.23,88,93,1.45,135.8,62.22,3/4/2020
Ponta do Sol,58.77,77,75,8.05,-17.1,32.67,3/4/2020
Ürümqi,39.31,60,75,2.24,87.6,43.8,3/4/2020
Nikolskoye,35.37,93,90,13.42,30.79,59.7,3/4/2020
Nioro,72,12,0,3.89,-15.75,13.35,3/4/2020
Bandarbeyla,77.43,63,100,7.47,50.81,9.49,3/4/2020
Ceres,54.28,66,1,3.36,-120.96,37.59,3/4/2020
Clifton,48.42,71,1,16.11,-74.16,40.86,3/4/2020
Igarka,16.68,93,100,18.63,86.58,67.47,3/4/2020
Diego de Almagro,56.79,52,0,1.59,-70.05,-26.37,3/4/2020
Ust'-Kut,21.13,86,100,5.37,105.77,56.79,3/4/2020
Mar del Plata,66.69,93,0,9.89,-57.56,-38,3/4/2020
Uribia,74.73,78,60,9.46,-72.27,11.71,3/4/2020
Richards Bay,75.24,74,0,17.16,32.04,-28.78,3/4/2020
Kalmar,38.23,93,90,9.17,16.36,56.66,3/4/2020
Boueni,86,66,20,12.75,45.08,-12.9,3/4/2020
Hithadhoo,83.26,75,40,12.73,73.08,-0.6,3/4/2020
Sarakhs,42.8,100,90,16.11,61.16,36.54,3/4/2020
São João da Barra,72.81,92,82,5.57,-41.05,-21.64,3/4/2020
Bethel,48.07,66,90,17.22,-73.41,41.37,3/4/2020
Lompoc,51.71,93,90,3.36,-120.46,34.64,3/4/2020
Tuktoyaktuk,-45.4,64,20,4.7,-133.04,69.45,3/4/2020
